name,outlet_name,address,postal_code,muis_halal_status,certificate_number,type,scheme,sub_scheme,data_sources,muis_place_id,halaltag_place_id,X,Y,geocode_source
Gelare,,8 GRANGE ROAD #02-06A/06B CATHAY CINELEISURE  ORCHARD 239695,239695,MUIS Halal Certified,EERT20240000267,0.0,100.0,106.0,"muis,halaltag",8297f808-92a7-4884-92d8-95daab047e0e,422.0,28346.2346228976,31541.100151198,postal_exact
GELARE,,1 WOODLANDS SQUARE #03-K06/K07/K08 CAUSEWAY POINT 738099,738099,MUIS Halal Certified,EERT20250000359,0.0,100.0,106.0,"muis,halaltag",8297f808-92a7-4884-92d8-95daab047e0e,422.0,22699.5234229155,46412.0238526929,postal_exact
GELARE,,1 PASIR RIS CENTRAL STREET 3 #02-K5/K6/K7 WHITE SANDS 518457,518457,MUIS Halal Certified,EERT20250000358,0.0,100.0,106.0,"muis,halaltag",8297f808-92a7-4884-92d8-95daab047e0e,422.0,40958.9038011068,39385.0873588398,postal_exact
HYOGAKI,,110 YISHUN RING ROAD #01-395 Chong Pang Garden 760110,760110,MUIS Halal Certified,EERT20220000927,0.0,100.0,106.0,"muis,halaltag",2f81a582-bfbd-42c4-9bd6-ecf2a9ab16b6,2068.0,27518.6718988987,46163.4777595736,postal_exact
HOTTO NEKO (S17) @ MAKAN PLACE NGEE ANN POLYTECHNIC,,"535 CLEMENTI ROAD #02-00 NGEE ANN POLYTECHNIC (Blk 51), Stall 17 599489",599489,MUIS Halal Certified,EEHK20230000354,0.0,100.0,103.0,"muis,halaltag",4e1f6840-4130-406d-a5a8-7bcc100d5bad,2483.0,21576.8427726515,35230.0818570405,postal_exact
Hawkerman,,"108 ANG MO KIO AVENUE 4 #01-74 KEBUN BARU HEIGHTS, Stall 2 560108",560108,MUIS Halal Certified,EEHK20230000796,0.0,100.0,103.0,"muis,halaltag",71dd3a8d-58c0-487b-940d-b4f72b3a1897,947.0,28543.4587465767,39220.009892093,postal_exact
Hawkerman,,"380 CLEMENTI AVENUE 5 #01-376, Stall 2 120380",120380,MUIS Halal Certified,EEHN21050012312,0.0,100.0,103.0,"muis,halaltag",71dd3a8d-58c0-487b-940d-b4f72b3a1897,947.0,20683.0504616043,33401.4274250772,postal_exact
Hawkerman,,"12 HAIG ROAD #01-323 HAIG VIEW, Stall 2 430012",430012,MUIS Halal Certified,EEHN21080012603,0.0,100.0,103.0,"muis,halaltag",71dd3a8d-58c0-487b-940d-b4f72b3a1897,947.0,34990.2525800169,33099.5925186686,postal_exact
HEI SUSHI,,1 PASIR RIS CLOSE #02-334 E!Hub Downtown East 519599,519599,MUIS Halal Certified,EERT25100000035,0.0,100.0,106.0,"muis,halaltag",ea7b9721-6c1e-4e4d-9b9b-d81839264558,49.0,41557.3568058563,39854.1394968368,postal_exact
HEI SUSHI,,2 JURONG EAST STREET 21 #01-K10 IMM BUILDING 609601,609601,MUIS Halal Certified,EESB25100000038,0.0,100.0,108.0,"muis,halaltag",ea7b9721-6c1e-4e4d-9b9b-d81839264558,49.0,18381.9356864095,35229.409786731,postal_exact
HEI SUSHI,,28 TAI SENG STREET #01-02 SAKAE BUILDING 534106,534106,MUIS Halal Certified,EERT25100000036,0.0,100.0,106.0,"muis,halaltag",ea7b9721-6c1e-4e4d-9b9b-d81839264558,49.0,34252.2534857327,35232.5188232139,postal_exact
HEI SUSHI,,604 SEMBAWANG ROAD #01-22-23 SEMBAWANG SHOPPING CENTRE 758459,758459,MUIS Halal Certified,EERT25100000034,0.0,100.0,106.0,"muis,halaltag",ea7b9721-6c1e-4e4d-9b9b-d81839264558,49.0,27051.0859117657,47047.237293398,postal_exact
HEI SUSHI,,900 SOUTH WOODLANDS DRIVE #01-04 WOODLANDS CIVIC CENTRE 730900,730900,MUIS Halal Certified,EERT25100000037,0.0,100.0,106.0,"muis,halaltag",ea7b9721-6c1e-4e4d-9b9b-d81839264558,49.0,22845.924756743,46306.879990235,postal_exact
Home of Seafood / Home of Sushi / Divine by Home of Seafood,,1 JOO CHIAT PLACE #01 427739,427739,MUIS Halal Certified,EERT20220000071,0.0,100.0,106.0,"muis,halaltag",066a00a7-fc46-43ee-ad5d-d062e6ea3de0,555.0,35400.1683421461,32847.2417097297,postal_exact
HUSK NASI LEMAK,,470 NORTH BRIDGE ROAD #03-21 BUGIS CUBE 188735,188735,MUIS Halal Certified,EERT20230000282,0.0,100.0,106.0,"muis,halaltag",6a8e7c9a-faee-4572-9d4a-bc3b98bdf00b,1964.0,30483.6570850834,31167.3475166354,postal_exact
Nasi Lada House Of Pepper Rice(Stall 5)@Kedai Kopi 108 Ang Mo Kio,,"108 ANG MO KIO AVENUE 4 #01-74 KEBUN BARU HEIGHTS, (Stall 5) 560108",560108,MUIS Halal Certified,EEHK20230000585,0.0,100.0,103.0,"muis,halaltag",42f4a429-5378-42d3-849c-b72de03dd50a,1988.0,28543.4587465767,39220.009892093,postal_exact
Nasi Lada House of Pepper Rice(STALL 8)@Kedai Kopi 925 Yishun,,"925 YISHUN CENTRAL 1 #01-211, STALL 8 760925",760925,MUIS Halal Certified,EEHK20230001070,0.0,100.0,103.0,"muis,halaltag",7c48aab3-503a-4066-830d-a1bd41f0f730,1988.0,28423.6299480665,45471.8220659625,postal_exact
Hokkaido Baked Cheese Tart,,200 VICTORIA STREET #B1-K6 BUGIS JUNCTION 188021,188021,MUIS Halal Certified,EESB20220000696,0.0,100.0,108.0,"muis,halaltag",0e377a5e-1fe7-4cb5-aef9-aef7c3e11147,948.0,30458.7085178969,31274.8305191435,postal_exact
Hokkaido Baked Cheese Tart,,1 Woodlands Square #B1-K25 Causeway Point 738099,738099,MUIS Halal Certified,EEBN21080012669,0.0,100.0,108.0,"muis,halaltag",0e377a5e-1fe7-4cb5-aef9-aef7c3e11147,948.0,22699.5234229155,46412.0238526929,postal_exact
Hokkaido Baked Cheese Tart,,65 AIRPORT BOULEVARD #B2-11 CHANGI AIRPORT TERMINAL 3 819663,819663,MUIS Halal Certified,EESB20220000043,0.0,100.0,108.0,"muis,halaltag",0e377a5e-1fe7-4cb5-aef9-aef7c3e11147,948.0,45015.2803212646,37610.5688502248,postal_exact
Hokkaido Baked Cheese Tart,,1 Jurong West Central 2 #B1-K2 Jurong Point 648886,648886,MUIS Halal Certified,EEBN21080012666,0.0,100.0,108.0,"muis,halaltag",0e377a5e-1fe7-4cb5-aef9-aef7c3e11147,948.0,13907.0305282837,35735.67771223,postal_exact
Hokkaido Baked Cheese Tart,,80 Marine Parade Road #01-23B Parkway Parade 449269,449269,MUIS Halal Certified,EEBN21080012668,0.0,100.0,108.0,"muis,halaltag",0e377a5e-1fe7-4cb5-aef9-aef7c3e11147,948.0,36015.2572663743,31474.4648520965,postal_exact
Huat Huat Barbeque Seafood,,1220 EAST COAST PARKWAY East Coast Lagoon Food Village 468960,468960,MUIS Halal Certified,EEHK20250000880,0.0,100.0,103.0,"muis,halaltag",75823705-b20b-4dba-943a-85befb5c388a,1167.0,39293.9161662422,32176.0329168923,postal_exact
HUDSONS COFFEE,,65 AIRPORT BOULEVARD #02-60 CHANGI AIRPORT TERMINAL 3 819663,819663,MUIS Halal Certified,EERX21100012925,0.0,100.0,106.0,"muis,halaltag",7b2bad34-08e9-4f8b-9502-9ffa8ae2a542,2495.0,45015.2803212646,37610.5688502248,postal_exact
Heavenly Wang,,460 ALEXANDRA ROAD #02-35 MTOWER 119963,119963,MUIS Halal Certified,EERT20230000748,0.0,100.0,106.0,"muis,halaltag",cd36d89f-b7ee-484b-8ced-cbcecd381471,243.0,24447.647553565,28514.458416285,postal_exact
Heavenly Wang,,80 AIRPORT BOULEVARD #02-K09 CHANGI AIRPORT BUS TERMINAL 1 819642,819642,MUIS Halal Certified,EESB25100000028,0.0,100.0,108.0,"muis,halaltag",cd36d89f-b7ee-484b-8ced-cbcecd381471,243.0,45504.218736439,38150.7544729207,postal_exact
Heavenly Wang / Crave / Wang Noodle House / The Salad Fork,,60 AIRPORT BOULEVARD #01-09 CHANGI AIRPORT TERMINAL 2 819643,819643,MUIS Halal Certified,EERT25100000029,0.0,100.0,106.0,"muis,halaltag",c29f0a5d-2cf2-4728-b7fe-339d9fa3afb3,243.0,45341.3799200347,37488.1988123395,postal_exact
Heavenly Wang,,65 AIRPORT BOULEVARD #02-K1 CHANGI AIRPORT TERMINAL 3 819663,819663,MUIS Halal Certified,EESB20230001135,0.0,100.0,108.0,"muis,halaltag",cd36d89f-b7ee-484b-8ced-cbcecd381471,243.0,45015.2803212646,37610.5688502248,postal_exact
Heavenly Wang,,3 SIMEI STREET 6 #B1-K3 EASTPOINT MALL 528833,528833,MUIS Halal Certified,EERT20220000317,0.0,100.0,106.0,"muis,halaltag",cd36d89f-b7ee-484b-8ced-cbcecd381471,243.0,41321.990633836,36095.4413322229,postal_exact
Heavenly Wang,,2 BUKIT BATOK WEST AVENUE 7 #01-09C HOME TEAM NS 659003,659003,MUIS Halal Certified,EERT20220000346,0.0,100.0,106.0,"muis,halaltag",cd36d89f-b7ee-484b-8ced-cbcecd381471,243.0,18388.3992932597,38689.5069671217,postal_exact
Heavenly Wang,,90 YISHUN CENTRAL #B1-08 KHOO TECK PUAT HOSPITAL 768828,768828,MUIS Halal Certified,EERT20220000349,0.0,100.0,106.0,"muis,halaltag",cd36d89f-b7ee-484b-8ced-cbcecd381471,243.0,28585.3954012329,45093.1608724799,postal_exact
Heavenly Wang,,100 BUKIT TIMAH ROAD #01-33A KK WOMEN'S AND CHILDREN'S HOSPITAL 229899,229899,MUIS Halal Certified,EERT20220000348,0.0,100.0,106.0,"muis,halaltag",cd36d89f-b7ee-484b-8ced-cbcecd381471,243.0,29483.6695531644,32528.2622606456,postal_exact
Heavenly Wang,,1 JURONG EAST STREET 21 #01-02 609606,609606,MUIS Halal Certified,EERT20220000335,0.0,100.0,106.0,"muis,halaltag",cd36d89f-b7ee-484b-8ced-cbcecd381471,243.0,18353.012811888,34978.8672476746,postal_exact
Heavenly Wang,,321 JOO CHIAT PLACE #01-10 PARKWAY EAST HOSPITAL 427990,427990,MUIS Halal Certified,EERT20250000048,0.0,100.0,106.0,"muis,halaltag",cd36d89f-b7ee-484b-8ced-cbcecd381471,243.0,36421.6614278359,33039.2590440456,postal_exact
OK CHICKEN RICE & HUMFULL PRAWN LAKSA (MR2) @ Koufu HQ,,"1 WOODLANDS HEIGHT #01-01 KOUFU GROUP HQ, MR 2 737859",737859,MUIS Halal Certified,EEHK20250000053,0.0,100.0,103.0,"muis,halaltag",f7f7d54f-4355-4e92-bd6e-044745a325f3,2535.0,24201.7861397993,45569.5839606766,postal_exact
HANIS,,3 SIMEI STREET 6 #01-14 EASTPOINT MALL 528833,528833,MUIS Halal Certified,EERN21110013067,0.0,100.0,106.0,"muis,halaltag",1c7799df-cf4a-4d44-aa13-406634291a24,48.0,41321.990633836,36095.4413322229,postal_exact
HANIS,,10 PAYA LEBAR ROAD #B2-18 409057,409057,MUIS Halal Certified,EERN21110013078,0.0,100.0,106.0,"muis,halaltag",1c7799df-cf4a-4d44-aa13-406634291a24,48.0,34688.1094547315,33331.1497676186,postal_exact
Halim's Fish Soup (S8)@Kopitiam AMK Hub,,"53 ANG MO KIO AVENUE 3 #03-12 AMK HUB, Stall 8 569933",569933,MUIS Halal Certified,EEHK20240000069,0.0,100.0,103.0,"muis,halaltag",b73c93d7-9989-4086-8184-c877f6fea9ea,386.0,29711.0075057196,39028.6385976207,postal_exact
