outlet_id,name,address,X,Y,distance_to_network,network_node
39,Auntie Anne's,80 MARINE PARADE ROAD #B1-08 PARKWAY PARADE 449269,36015.2572663743,31474.4648520965,90.0762241651229,"(36100.0, 31505.0)"
40,Auntie Anne's,"10 PAYA LEBAR ROAD #B2-K7 PAYA LEBAR QUARTER,B2-K7 409057",34688.1094547315,33331.1497676186,75.74103304155298,"(34725.0, 33265.0)"
41,Auntie Anne's,68 ORCHARD ROAD #B2-37 PLAZA SINGAPURA 238839,29307.5237809345,31463.6672937293,40.18514149855921,"(29340.0, 31440.0)"
42,Auntie Anne's,290 ORCHARD ROAD #B1-K34 THE PARAGON 238859,28213.8713075072,31784.6085016429,87.9015187382743,"(28150.0, 31845.0)"
43,Auntie Anne's,11 BIDADARI PARK DRIVE #B1-K22 THE WOODLEIGH MALL 367803,32277.0183821376,35651.5520587377,139.6842039660942,"(32165.0, 35735.0)"
44,Auntie Anne's,1 HARBOUR FRONT WALK #B2-K6 VIVO CITY 098585,26748.4993302505,27426.9234353155,202.7528877441688,"(26610.0, 27575.0)"
45,Auntie Anne's,83 PUNGGOL CENTRAL #B1-K13A WATERWAY POINT 828761,35657.8013379965,43139.2621246278,138.48360843056082,"(35525.0, 43100.0)"
46,ALL GOOD GOURMET,23 SERANGOON CENTRAL #B2-49 NEX 556083,32289.4083088608,36976.3859132938,134.39425789827513,"(32375.0, 37080.0)"
47,AL-AZHAR,11 & 12 CHEONG CHIN NAM ROAD 599736,21528.6810228564,36115.8611128815,114.51107990676967,"(21500.0, 36005.0)"
49,Amigo's,"878C TAMPINES AVENUE 8 #01-66, Stall 2 523878",38688.7606494464,37041.6473486144,97.1922707227491,"(38770.0, 37095.0)"
50,Amigo's,"131 MARSILING RISE #01-206, Stall 1 730131",21912.1571563846,46685.3823676072,137.100309369312,"(21855.0, 46810.0)"
51,ANAS BAKERY,55 SIMS AVENUE EAST #01-04 KEMBANGAN MRT STATION 416551,36861.9614935443,33699.3440501876,88.82266757765355,"(36785.0, 33655.0)"
52,ABANG RECIPES,604 SEMBAWANG ROAD #B1-08/09 SEMBAWANG SHOPPING CENTRE 758459,27051.0859117657,47047.237293398,50.36647099383451,"(27085.0, 47010.0)"
53,Ayam Penyet Ria,249 VICTORIA STREET #01 Bugis Village 188034,30444.2555859396,31420.9453059677,63.662902888618774,"(30505.0, 31440.0)"
54,Ayam Penyet Ria,1 JURONG WEST CENTRAL 2 #B1-06 JURONG POINT 648886,13907.0305282837,35735.67771223,104.76670706956833,"(14010.0, 35755.0)"
55,Ayam Penyet Ria,304 ORCHARD ROAD #04-25/26/27 LUCKY PLAZA 238863,28071.6446550656,31871.1689420138,79.1106007066346,"(28065.0, 31950.0)"
56,Ayam Penyet Ria,23 SERANGOON CENTRAL #01-57 NEX 556083,32289.4083088608,36976.3859132938,134.39425789827513,"(32375.0, 37080.0)"
57,Ayam Penyet Ria,11 RIVERVALE CRESCENT #01-08/09/10 RIVERVALE MALL 545082,35919.7396821184,41601.6646846253,106.07601498021063,"(36015.0, 41555.0)"
58,Ayam Penyet Ria,6 WOODLANDS SQUARE #B2-03 WOODS SQUARE 737737,22728.8046400957,46316.1292806994,64.41833402573907,"(22665.0, 46325.0)"
59,ABANG GEMUK (S9) @ O2 CAFE 134 BUKIT BATOK,"134 BUKIT BATOK WEST AVENUE 6 #01-463, STALL 9 650134",18116.5585966576,37077.7480030619,101.19416458052123,"(18200.0, 37135.0)"
60,AYAM PENYET PRESIDENT,2 TAMPINES CENTRAL 5 #B1-20 CENTURY SQUARE 529509,40296.7094797157,37163.8108075112,70.52177716804108,"(40350.0, 37210.0)"
61,AYAM PENYET PRESIDENT,445 BEDOK NORTH STREET 1 #01-07 DJITSUN MALL BEDOK 469661,38710.0881669372,34261.3041274194,227.16692705345721,"(38890.0, 34400.0)"
62,AYAM PENYET PRESIDENT,3151 COMMONWEALTH AVENUE WEST #01-19/23 GRANTRAL MALL @ CLEMENTI 129581,20413.2100247061,32950.9688186739,85.24630691691495,"(20485.0, 32905.0)"
